"","Ime","Starost","Polozaj","Klub","Tip transferja","Vrednost transferja","Drzavljanstvo"
"1","Ibrahim Afellay",29,"MF","Olympiacos","Loan return","Free","Netherlands"
"2","Alex Song",27,"MF","West Ham United","Loan return","Free","Cameroon"
"3","Aleix Vidal",25,"DF","Sevilla","Transfer","€18M+4M variables","Spain"
"4","Arda Turan",28,"MF","Atlético Madrid","Transfer","€34M+7M variables","Turkey"
"5","Denis Suárez",21,"MF","Sevilla","Loan return","Free","Spain"
"6","Cristian Tello",24,"FW","Porto","Loan return","Free","Spain"
"7","Martín Montoya",24,"DF","Internazionale","Loan return","Free","Spain"
