"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Rafael Márquez",31,"DF","New York Red Bulls",0,"Mexico",2010
"2","Thierry Henry",33,"FW","New York Red Bulls",0,"France",2010
"3","Dmytro Chygrynskiy",24,"DF","Shakhtar Donetsk",NA,"Ukraine",2010
"4","Touré Yaya",27,"MF","Manchester City",NA,"Ivory Coast",2010
"5","Zlatan Ibrahimoviæ",29,"FW","Milan",NA,"Sweden",2010
"6","Keirrison",21,"FW","Santos",0,"Brazil",2010
"7","Henrique",24,"DF","Racing Santander",0,"Brazil",2010
"8","Víctor Sánchez",23,"MF","Getafe",0,"Spain",2010
"9","Martín Cáceres",23,"DF","Sevilla",0,"Uruguay",2010
"10","Alexander Hleb",29,"MF","Birmingham City",0,"Belarus",2010
