"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Jordi Masip",28,"GK","Real Valladolid",0,"Spain",2017
"2","Cristian Tello",25,"FW","Real Betis",NA,"Spain",2017
"3","Jérémy Mathieu",33,"DF","Sporting CP",0,"France",2017
"4","Neymar",25,"FW","Paris Saint-Germain",NA,"Brazil",2017
"5","Sergi Samper",22,"MF","Las Palmas",0,"Spain",2017
"6","Marlon Santos",21,"CB","Nice",0,"Brazil",2017
"7","Douglas",27,"RB","Benfica",0,"Brazil",2017
"8","Munir",21,"FW","Alavés",0,"Spain",2017
"9","Arda Turan",30,"MF","Istanbul Baºakºehir",0,"Turkey",2017
"10","Rafinha",27,"MF","Internazionale",0,"Brazil",2017
"11","Javier Mascherano",36,"DF","Hebei China Fortune",NA,"Argentina",2017
"12","Gerard Deulofeu",26,"FW","Watford",0,"Spain",2017
