"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Martín Cáceres",24,"DF","Sevilla",NA,"Uruguay",2011
"2","Víctor Sánchez",23,"MF","Neuchâtel Xamax",0,"Spain",2011
"3","Henrique",24,"CB","Palmeiras",0,"Brazil",2011
"4","Bojan",20,"FW","Roma",NA,"Spain",2011
"5","Jeffrén",23,"FW","Sporting CP",NA,"Venezuela",2011
"6","Gabriel Milito",30,"CB","Independiente",0,"Argentina",2011
"7","Keirrison",22,"FW","Cruzeiro",0,"Brazil",2011
"8","Alexander Hleb",30,"MF","Wolfsburg",0,"Belarus",2011
"9","Maxwell",30,"LWB","Paris Saint-Germain",NA,"Brazil",2011
"10","Alexander Hleb",30,"MF","Krylia Sovetov Samara",0,"Belarus",2011
"11","Keirrison",23,"FW","Coritiba",0,"Brazil",2011
