"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Andrés Iniesta",34,"MF","Vissel Kobe",0,"Spain",2018
"2","Gerard Deulofeu",24,"FW","Watford",13,"Spain",2018
"3","Lucas Digne",24,"DF","Everton",20.2,"France",2018
"4","Aleix Vidal",28,"DF","Sevilla",8.5,"Spain",2018
"5","Yerry Mina",23,"DF","Everton",30.25,"Colombia",2018
"6","Marlon",23,"DF","Sassuolo",6,"Brazil",2018
"7","Munir",23,"FW","Sevilla",1.05,"Spain",2018
"8","Paulinho",30,"MF","Guangzhou Evergrande",-1,"Brazil",2018
"9","Paco Alcácer",25,"FW","Borussia Dortmund",23,"Spain",2018
"10","Sergi Samper",24,"MF","Vissel Kobe",0,"Spain",2018
