"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Marc-André ter Stegen",22,"GK","Mönchengladbach",12,"Germany",2014
"2","Gerard Deulofeu",20,"FW","Everton",0,"Spain",2014
"3","Rafinha",21,"MF","Celta Vigo",0,"Brazil",2014
"4","Ivan Rakitiæ",26,"MF","Sevilla",18,"Croatia",2014
"5","Claudio Bravo",31,"GK","Real Sociedad",12,"Chile",2014
"6","Luis Suárez",27,"FW","Liverpool",81.25,"Uruguay",2014
"7","Jérémy Mathieu",30,"DF","Valencia",20,"France",2014
"8","Thomas Vermaelen",28,"DF","Arsenal",18,"Belgium",2014
"9","Douglas",24,"RB","Sao Paulo",4,"Brazil",2014
