"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Jordi Alba",23,"DF","Valencia",NA,"Spain",2012
"2","Alex Song",24,"DM","Arsenal",NA,"Cameroon",2012
