"","Ime","Polozaj","Klub","Vrednost transferja","Drzavljanstvo"
"1","Arthur","MF","Gremio","€31,000,000[A]","Brazil"
"2","Clément Lenglet","DF","Sevilla","€35,900,000","France"
"3","Malcom","FW","Bordeaux","€41,000,000[B]","Brazil"
"4","Arturo Vidal","MF","Bayern Munich","Undisclosed[C]","Chile"
"5","Jean-Clair Todibo","DF","Toulouse","€1,000,000[D]","France"
