"","Ime","Starost","Polozaj","Klub","Vrednost transferja","Drzavljanstvo","Leto"
"1","Frenkie de Jong",22,"MF","Ajax",NA,"Netherlands",2019
"2","Emerson",20,"DF","Atlético Mineiro",NA,"Brazil",2019
"3","Neto",29,"GK","Valencia",NA,"Brazil",2019
"4","Antoine Griezmann",28,"FW","Atletico Madrid",NA,"France",2019
"5","Marc Cucurella",20,"DF","Eibar",NA,"Spain",2019
"6","Junior Firpo",22,"DF","Real Betis",NA,"Spain",2019
"7","Martin Braithwaite",28,"FW","Leganés",NA,"Denmark",2019
